had1,z1,pt,mins,maxx,fit_line
300.0,0.25,0.0,-0.0,-0.0,-0.0
300.0,0.25,0.075,-0.04958954072842196,-0.011778637022091146,-0.025394100766973477
300.0,0.25,0.15,-0.07053238775670305,-0.0205060136646073,-0.04093231628732827
300.0,0.25,0.22499999999999998,-0.06204733948555619,-0.02440991021333243,-0.042854528915462695
300.0,0.25,0.3,-0.045680601109012134,-0.022674061935967695,-0.03453904022120272
300.0,0.25,0.375,-0.03267594211028087,-0.01132439871024389,-0.022601160492216613
300.0,0.25,0.44999999999999996,-0.023235202675284554,-0.0034979525467574886,-0.012295837202589352
300.0,0.25,0.525,-0.01566194092789749,-0.000820762994630413,-0.0056323115702760764
300.0,0.25,0.6,-0.009504655215459842,-0.00014740300147674998,-0.0021887494675491676
300.0,0.25,0.6749999999999999,-0.0053119410517726215,-2.0360808076039254e-05,-0.0007251062844076571
300.0,0.25,0.75,-0.002708357955586323,-2.170342175478151e-06,-0.0002054697587180556
300.0,0.25,0.825,-0.0012594561626392952,-1.7895183360648266e-07,-4.9918899839768696e-05
300.0,0.25,0.8999999999999999,-0.0005351122655672157,-1.1433508513207243e-08,-1.0416303695081691e-05
300.0,0.25,0.975,-0.00020800284864470398,-5.668080112893243e-10,-1.8692675430567118e-06
300.0,0.25,1.05,-7.404661649244866e-05,-2.1825015755404262e-11,-2.887935783151169e-07
300.0,0.35,0.0,-0.0,-0.0,-0.0
300.0,0.35,0.075,-0.08391149974671576,-0.01830161934749513,-0.04061078743214684
300.0,0.35,0.15,-0.11718119084884975,-0.03239830998233897,-0.06545983301806854
300.0,0.35,0.22499999999999998,-0.10165590911361727,-0.039387113285678815,-0.06853387644086541
300.0,0.35,0.3,-0.06981910861591768,-0.03812970815108913,-0.05523556960748429
300.0,0.35,0.375,-0.0466168079171649,-0.019913720320405382,-0.036144257790099166
300.0,0.35,0.44999999999999996,-0.03134536600229388,-0.006434915872030231,-0.01966376504200003
300.0,0.35,0.525,-0.02061965397762872,-0.0015379505946576553,-0.009007312762560315
300.0,0.35,0.6,-0.012195937027795591,-0.00027620462333048104,-0.00350029481982943
300.0,0.35,0.6749999999999999,-0.006813761417232786,-3.815220361190323e-05,-0.0011596054316713946
300.0,0.35,0.75,-0.0034740793924419268,-4.06680011309507e-06,-0.0003285916194317735
300.0,0.35,0.825,-0.0016155363404915723,-3.3532101314350563e-07,-7.983136905859758e-05
300.0,0.35,0.8999999999999999,-0.0006864020653604934,-2.142417644551402e-08,-1.665797497896847e-05
300.0,0.35,0.975,-0.0002668105257487451,-1.0620882321962789e-09,-2.989372513777534e-06
300.0,0.35,1.05,-9.498147167211379e-05,-4.0895844694546984e-11,-4.618448484687984e-07
300.0,0.45,0.0,-0.0,-0.0,-0.0
300.0,0.45,0.075,-0.15777475708425767,-0.03478653355863558,-0.0761860679127983
300.0,0.45,0.15,-0.21793492750858381,-0.061580610766990077,-0.12280301858730466
300.0,0.45,0.22499999999999998,-0.18359556137818991,-0.07537141264219503,-0.12856994151061407
300.0,0.45,0.3,-0.12162430172300899,-0.07508335592259764,-0.10362224234999119
300.0,0.45,0.375,-0.08009970013117598,-0.04015888724374559,-0.06780683293213882
300.0,0.45,0.44999999999999996,-0.05490342934652978,-0.012614814437981728,-0.036889334919057694
300.0,0.45,0.525,-0.03611665326312614,-0.0029599523539627585,-0.016897769908717043
300.0,0.45,0.6,-0.02189510376065797,-0.0005315856880203878,-0.006566572965468937
300.0,0.45,0.6749999999999999,-0.012268906992616535,-7.342804462132746e-05,-0.0021754263769688345
300.0,0.45,0.75,-0.006255451921612179,-7.826996920230259e-06,-0.0006164397446228507
300.0,0.45,0.825,-0.0029089461592467754,-6.45361577696345e-07,-0.00014976410183702914
300.0,0.45,0.8999999999999999,-0.001242780857030783,-4.123314605936912e-08,-3.1250455686382075e-05
300.0,0.45,0.975,-0.0004869828661789592,-2.044103740344993e-09,-5.6080798170149684e-06
300.0,0.45,1.05,-0.00017487347754469352,-7.870847879730828e-11,-8.664235592429596e-07
300.0,0.6,0.0,-0.0,-0.0,-0.0
300.0,0.6,0.075,-0.2485888676142567,-0.06961632068245369,-0.13301714482611277
300.0,0.6,0.15,-0.34903003642150643,-0.12200180698728592,-0.21440805853385253
300.0,0.6,0.22499999999999998,-0.30221004517165523,-0.14647108438130158,-0.224476823633646
300.0,0.6,0.3,-0.2075547989487292,-0.14298904247590033,-0.18091936223368044
300.0,0.6,0.375,-0.14692638099045952,-0.0639590590985432,-0.11838741076200346
300.0,0.6,0.44999999999999996,-0.10445975257923845,-0.019875818503888826,-0.06440697282190326
300.0,0.6,0.525,-0.07151944955145112,-0.004663681424467696,-0.029502679016835842
300.0,0.6,0.6,-0.044190963708487074,-0.0008375629071915645,-0.011464914925899293
300.0,0.6,0.6749999999999999,-0.024762377451150643,-0.000115692743255481,-0.003798187954456682
300.0,0.6,0.75,-0.012629719296750226,-1.2332164771968144e-05,-0.0010762736158128356
300.0,0.6,0.825,-0.005912978232920232,-1.0168274492453125e-06,-0.0002614807899865678
300.0,0.6,0.8999999999999999,-0.002530948450354533,-6.496667322769432e-08,-5.4561765737475545e-05
300.0,0.6,0.975,-0.0009917504952961442,-3.220676383783381e-09,-9.791432812494137e-06
300.0,0.6,1.05,-0.00035613338787442183,-1.2401256054803866e-10,-1.5127331179828016e-06
310.0,0.25,0.0,-0.0,-0.0,-0.0
310.0,0.25,0.075,-0.04958954072842196,-0.011778637022091146,-0.025394100766973477
310.0,0.25,0.15,-0.07053238775670305,-0.0205060136646073,-0.04093231628732827
310.0,0.25,0.22499999999999998,-0.06204733948555619,-0.02440991021333243,-0.042854528915462695
310.0,0.25,0.3,-0.045680601109012134,-0.022674061935967695,-0.03453904022120272
310.0,0.25,0.375,-0.03267594211028087,-0.01132439871024389,-0.022601160492216613
310.0,0.25,0.44999999999999996,-0.023235202675284554,-0.0034979525467574886,-0.012295837202589352
310.0,0.25,0.525,-0.01566194092789749,-0.000820762994630413,-0.0056323115702760764
310.0,0.25,0.6,-0.009504655215459842,-0.00014740300147674998,-0.0021887494675491676
310.0,0.25,0.6749999999999999,-0.0053119410517726215,-2.0360808076039254e-05,-0.0007251062844076571
310.0,0.25,0.75,-0.002708357955586323,-2.170342175478151e-06,-0.0002054697587180556
310.0,0.25,0.825,-0.0012594561626392952,-1.7895183360648266e-07,-4.9918899839768696e-05
310.0,0.25,0.8999999999999999,-0.0005351122655672157,-1.1433508513207243e-08,-1.0416303695081691e-05
310.0,0.25,0.975,-0.00020800284864470398,-5.668080112893243e-10,-1.8692675430567118e-06
310.0,0.25,1.05,-7.404661649244866e-05,-2.1825015755404262e-11,-2.887935783151169e-07
310.0,0.35,0.0,-0.0,-0.0,-0.0
310.0,0.35,0.075,-0.08391149974671576,-0.01830161934749513,-0.04061078743214684
310.0,0.35,0.15,-0.11718119084884975,-0.03239830998233897,-0.06545983301806854
310.0,0.35,0.22499999999999998,-0.10165590911361727,-0.039387113285678815,-0.06853387644086541
310.0,0.35,0.3,-0.06981910861591768,-0.03812970815108913,-0.05523556960748429
310.0,0.35,0.375,-0.0466168079171649,-0.019913720320405382,-0.036144257790099166
310.0,0.35,0.44999999999999996,-0.03134536600229388,-0.006434915872030231,-0.01966376504200003
310.0,0.35,0.525,-0.02061965397762872,-0.0015379505946576553,-0.009007312762560315
310.0,0.35,0.6,-0.012195937027795591,-0.00027620462333048104,-0.00350029481982943
310.0,0.35,0.6749999999999999,-0.006813761417232786,-3.815220361190323e-05,-0.0011596054316713946
310.0,0.35,0.75,-0.0034740793924419268,-4.06680011309507e-06,-0.0003285916194317735
310.0,0.35,0.825,-0.0016155363404915723,-3.3532101314350563e-07,-7.983136905859758e-05
310.0,0.35,0.8999999999999999,-0.0006864020653604934,-2.142417644551402e-08,-1.665797497896847e-05
310.0,0.35,0.975,-0.0002668105257487451,-1.0620882321962789e-09,-2.989372513777534e-06
310.0,0.35,1.05,-9.498147167211379e-05,-4.0895844694546984e-11,-4.618448484687984e-07
310.0,0.45,0.0,-0.0,-0.0,-0.0
310.0,0.45,0.075,-0.15777475708425767,-0.03478653355863558,-0.0761860679127983
310.0,0.45,0.15,-0.21793492750858381,-0.061580610766990077,-0.12280301858730466
310.0,0.45,0.22499999999999998,-0.18359556137818991,-0.07537141264219503,-0.12856994151061407
310.0,0.45,0.3,-0.12162430172300899,-0.07508335592259764,-0.10362224234999119
310.0,0.45,0.375,-0.08009970013117598,-0.04015888724374559,-0.06780683293213882
310.0,0.45,0.44999999999999996,-0.05490342934652978,-0.012614814437981728,-0.036889334919057694
310.0,0.45,0.525,-0.03611665326312614,-0.0029599523539627585,-0.016897769908717043
310.0,0.45,0.6,-0.02189510376065797,-0.0005315856880203878,-0.006566572965468937
310.0,0.45,0.6749999999999999,-0.012268906992616535,-7.342804462132746e-05,-0.0021754263769688345
310.0,0.45,0.75,-0.006255451921612179,-7.826996920230259e-06,-0.0006164397446228507
310.0,0.45,0.825,-0.0029089461592467754,-6.45361577696345e-07,-0.00014976410183702914
310.0,0.45,0.8999999999999999,-0.001242780857030783,-4.123314605936912e-08,-3.1250455686382075e-05
310.0,0.45,0.975,-0.0004869828661789592,-2.044103740344993e-09,-5.6080798170149684e-06
310.0,0.45,1.05,-0.00017487347754469352,-7.870847879730828e-11,-8.664235592429596e-07
310.0,0.6,0.0,-0.0,-0.0,-0.0
310.0,0.6,0.075,-0.2485888676142567,-0.06961632068245369,-0.13301714482611277
310.0,0.6,0.15,-0.34903003642150643,-0.12200180698728592,-0.21440805853385253
310.0,0.6,0.22499999999999998,-0.30221004517165523,-0.14647108438130158,-0.224476823633646
310.0,0.6,0.3,-0.2075547989487292,-0.14298904247590033,-0.18091936223368044
310.0,0.6,0.375,-0.14692638099045952,-0.0639590590985432,-0.11838741076200346
310.0,0.6,0.44999999999999996,-0.10445975257923845,-0.019875818503888826,-0.06440697282190326
310.0,0.6,0.525,-0.07151944955145112,-0.004663681424467696,-0.029502679016835842
310.0,0.6,0.6,-0.044190963708487074,-0.0008375629071915645,-0.011464914925899293
310.0,0.6,0.6749999999999999,-0.024762377451150643,-0.000115692743255481,-0.003798187954456682
310.0,0.6,0.75,-0.012629719296750226,-1.2332164771968144e-05,-0.0010762736158128356
310.0,0.6,0.825,-0.005912978232920232,-1.0168274492453125e-06,-0.0002614807899865678
310.0,0.6,0.8999999999999999,-0.002530948450354533,-6.496667322769432e-08,-5.4561765737475545e-05
310.0,0.6,0.975,-0.0009917504952961442,-3.220676383783381e-09,-9.791432812494137e-06
310.0,0.6,1.05,-0.00035613338787442183,-1.2401256054803866e-10,-1.5127331179828016e-06
