had1,had2,z1,z2,mins,maxx,fit_line
300.0,200.0,0.25,0.15,-0.01919427068894298,-0.012161604093291912,-0.015442074517511515
300.0,200.0,0.25,0.20357142857142857,-0.02745659336574014,-0.017760527756921177,-0.02256843370250786
300.0,200.0,0.25,0.2571428571428571,-0.03470833376643371,-0.022828357621219892,-0.028971452442293332
300.0,200.0,0.25,0.3107142857142857,-0.04139737705738036,-0.027102043485313174,-0.034445239803994644
300.0,200.0,0.25,0.36428571428571427,-0.047039781855475894,-0.030598418355393377,-0.039066393447104386
300.0,200.0,0.25,0.4178571428571428,-0.051952917124726404,-0.03364454234812675,-0.04309666383876191
300.0,200.0,0.25,0.4714285714285714,-0.05617371999187769,-0.0362537100413145,-0.046553823406706774
300.0,200.0,0.25,0.525,-0.059959198182421854,-0.03851688139465993,-0.04957453401924674
300.0,200.0,0.25,0.5785714285714285,-0.06323482737945298,-0.04044945231230645,-0.05218850408956019
300.0,200.0,0.25,0.6321428571428571,-0.06607250314832912,-0.04212298365944132,-0.05445582709724662
300.0,200.0,0.25,0.6857142857142857,-0.06851006236612946,-0.04355798661295561,-0.056405162362694536
300.0,200.0,0.25,0.7392857142857143,-0.07070819909727553,-0.04485447729391712,-0.058166880116558524
300.0,200.0,0.25,0.7928571428571428,-0.0727099300606689,-0.04603431793477436,-0.05977255791056649
300.0,200.0,0.25,0.8464285714285714,-0.07458562301627066,-0.04713779529251832,-0.06127692811802976
300.0,200.0,0.25,0.9,-0.07639494630773383,-0.04820101527644024,-0.06272767528499447
300.0,200.0,0.35,0.15,-0.014536064612155767,-0.008244080781097162,-0.011267618904205447
300.0,200.0,0.35,0.20357142857142857,-0.019867117730843382,-0.011384296847426168,-0.015596152672003701
300.0,200.0,0.35,0.2571428571428571,-0.024746554240491957,-0.014388472656220664,-0.019608749977364708
300.0,200.0,0.35,0.3107142857142857,-0.02909341736855515,-0.01716210914688631,-0.023186848564103125
300.0,200.0,0.35,0.36428571428571427,-0.03279559837732412,-0.01967398855233222,-0.02631034281747959
300.0,200.0,0.35,0.4178571428571428,-0.03604975733202448,-0.02178805515498551,-0.029048349759451746
300.0,200.0,0.35,0.4714285714285714,-0.038855470464705416,-0.02343415992197455,-0.03142422786266329
300.0,200.0,0.35,0.525,-0.041401711875673236,-0.02485629921128647,-0.03350058540132919
300.0,200.0,0.35,0.5785714285714285,-0.04369137579187455,-0.02607495540401077,-0.03530404438838518
300.0,200.0,0.35,0.6321428571428571,-0.04569875350224173,-0.027119802317283198,-0.03687237276437637
300.0,200.0,0.35,0.6857142857142857,-0.04744769389128407,-0.028007065933969805,-0.03822528366546735
300.0,200.0,0.35,0.7392857142857143,-0.04901353517248655,-0.028784309984187136,-0.039427632368943345
300.0,200.0,0.35,0.7928571428571428,-0.05041983165990394,-0.029465091645818432,-0.04049878572079491
300.0,200.0,0.35,0.8464285714285714,-0.05170302388151279,-0.030070456832734297,-0.04146933418306429
300.0,200.0,0.35,0.9,-0.052895539144358954,-0.030620519018925558,-0.04236691593227573
300.0,200.0,0.45,0.15,-0.018762726427138818,-0.010800132956474577,-0.014857738483328687
300.0,200.0,0.45,0.20357142857142857,-0.02502682091598577,-0.014249303443970691,-0.019752253287491372
300.0,200.0,0.45,0.2571428571428571,-0.03069987242113828,-0.017417691900734094,-0.024208781536373007
300.0,200.0,0.45,0.3107142857142857,-0.03572398323893348,-0.020285360271786616,-0.028187000808558935
300.0,200.0,0.45,0.36428571428571427,-0.040095337798180475,-0.022851234125449534,-0.031683827607320844
300.0,200.0,0.45,0.4178571428571428,-0.04385463685771484,-0.02513045561701216,-0.03472734988621273
300.0,200.0,0.45,0.4714285714285714,-0.04708975829613748,-0.02713392306397613,-0.0373680217582537
300.0,200.0,0.45,0.525,-0.04988834902199836,-0.02887402960399761,-0.03966131674607328
300.0,200.0,0.45,0.5785714285714285,-0.052332409848158186,-0.03031584150078202,-0.041658481509321825
300.0,200.0,0.45,0.6321428571428571,-0.05448305978975682,-0.03156162088497891,-0.04340406325831378
300.0,200.0,0.45,0.6857142857142857,-0.05638956315700647,-0.032636865385909944,-0.044933442428801026
300.0,200.0,0.45,0.7392857142857143,-0.05808072680511583,-0.03356990763674324,-0.046278806481227265
300.0,200.0,0.45,0.7928571428571428,-0.059588162973160955,-0.03437968518026787,-0.04746495744918627
300.0,200.0,0.45,0.8464285714285714,-0.06093826182061903,-0.03508398965580554,-0.048512647927589456
300.0,200.0,0.45,0.9,-0.06224580726326286,-0.035699095554169544,-0.04944165001595289
300.0,200.0,0.6,0.15,-0.027360998785425365,-0.016847828807836644,-0.0223277117392695
300.0,200.0,0.6,0.20357142857142857,-0.0368283562880414,-0.02264384719780616,-0.030054451403961208
300.0,200.0,0.6,0.2571428571428571,-0.04580347177623404,-0.028152003344650654,-0.037405107867260534
300.0,200.0,0.6,0.3107142857142857,-0.054195394651132565,-0.03332037673048333,-0.04430804873421486
300.0,200.0,0.6,0.36428571428571427,-0.061989456365746376,-0.03811822745255341,-0.05072085768399251
300.0,200.0,0.6,0.4178571428571428,-0.06914820176582304,-0.04253570152493354,-0.056630321353362746
300.0,200.0,0.6,0.4714285714285714,-0.075694900670309,-0.04658298800056496,-0.062051247314514064
300.0,200.0,0.6,0.525,-0.08172547868252618,-0.0502790623567082,-0.06700994085830408
300.0,200.0,0.6,0.5785714285714285,-0.08724586687981532,-0.05364935153243419,-0.07154084256330882
300.0,200.0,0.6,0.6321428571428571,-0.09227866087891357,-0.05671383951749306,-0.0756695964049953
300.0,200.0,0.6,0.6857142857142857,-0.09687200012752302,-0.05950165102745125,-0.07943433919415749
300.0,200.0,0.6,0.7392857142857143,-0.10104261265731143,-0.06202652012589976,-0.08285104192868437
300.0,200.0,0.6,0.7928571428571428,-0.10483951282397597,-0.06431806957253884,-0.08595874330895403
300.0,200.0,0.6,0.8464285714285714,-0.10829142974187127,-0.06639546816355235,-0.0887818148077796
300.0,200.0,0.6,0.9,-0.11143397413776007,-0.06828111127983079,-0.09134946601563676
300.0,205.0,0.25,0.15,-0.02045895690514849,-0.009571573590924884,-0.014964466412511063
300.0,205.0,0.25,0.20357142857142857,-0.01710153416124655,-0.005053565182074977,-0.01113922881590813
300.0,205.0,0.25,0.2571428571428571,-0.011338348128391754,0.0012657951933384623,-0.005037853187098402
300.0,205.0,0.25,0.3107142857142857,-0.004873610685383333,0.008328363361515842,0.0017867110076731042
300.0,205.0,0.25,0.36428571428571427,0.0018244001411876249,0.015431673414051135,0.008636526154641347
300.0,205.0,0.25,0.4178571428571428,0.008461161568115824,0.022585862369829266,0.015382179001368535
300.0,205.0,0.25,0.4714285714285714,0.014215477276384706,0.029131595418212072,0.021477523907024836
300.0,205.0,0.25,0.525,0.01886223926551964,0.03496424142656767,0.02685534871423033
300.0,205.0,0.25,0.5785714285714285,0.022769176900989743,0.0399714034964096,0.03141445657681416
300.0,205.0,0.25,0.6321428571428571,0.02598713495245619,0.044188322799889594,0.0351821028703399
300.0,205.0,0.25,0.6857142857142857,0.02861053190038603,0.04771047249556975,0.038268409779354404
300.0,205.0,0.25,0.7392857142857143,0.030824941744226085,0.05070309471300804,0.04088436234604933
300.0,205.0,0.25,0.7928571428571428,0.03275375109272069,0.053326708480982234,0.0431721203290833
300.0,205.0,0.25,0.8464285714285714,0.03451260392087562,0.05572896942548983,0.04526368057768878
300.0,205.0,0.25,0.9,0.036197806321233816,0.05803291625708643,0.047268951575596053
300.0,205.0,0.35,0.15,-0.01513238852344638,-0.006584109831260541,-0.010951827013702982
300.0,205.0,0.35,0.20357142857142857,-0.017287983965809304,-0.006190334610151386,-0.011810821650936007
300.0,205.0,0.35,0.2571428571428571,-0.017729666054195396,-0.004757839377916893,-0.011276184760476432
300.0,205.0,0.35,0.3107142857142857,-0.01699184039255003,-0.0027060903598902035,-0.009813356725571933
300.0,205.0,0.35,0.36428571428571427,-0.015543768058548197,-0.00023961862655084464,-0.00775520342969752
300.0,205.0,0.35,0.4178571428571428,-0.01359485465999064,0.00276047116613325,-0.005264268425143041
300.0,205.0,0.35,0.4714285714285714,-0.011468363599530861,0.00576020802399964,-0.0027176577506704065
300.0,205.0,0.35,0.525,-0.00936759437209683,0.008582913259091711,-0.00027261625411901646
300.0,205.0,0.35,0.5785714285714285,-0.0074763373158396864,0.011111278582517183,0.0019224789311805492
300.0,205.0,0.35,0.6321428571428571,-0.0058742347095575515,0.013297292535908806,0.0038049289708669133
300.0,205.0,0.35,0.6857142857142857,-0.004558626394496605,0.015166096842835092,0.005388446858070617
300.0,205.0,0.35,0.7392857142857143,-0.003451091742890235,0.01679161980159645,0.006749006641394202
300.0,205.0,0.35,0.7928571428571428,-0.0025234287278823033,0.01824653987510649,0.007952772638310584
300.0,205.0,0.35,0.8464285714285714,-0.0016695557905357244,0.019594351562163298,0.009063039270207369
300.0,205.0,0.35,0.9,-0.0008365936185199773,0.02089293343576428,0.01013658415014286
300.0,205.0,0.45,0.15,-0.017529256266123006,-0.006030461463788802,-0.011073866797000578
300.0,205.0,0.45,0.20357142857142857,-0.022586610709808795,-0.007040161739248461,-0.013862785652299309
300.0,205.0,0.45,0.2571428571428571,-0.02675472481093709,-0.007732130599839214,-0.016090115655968497
300.0,205.0,0.45,0.3107142857142857,-0.030078011548944877,-0.008228541505824204,-0.017828718524830957
300.0,205.0,0.45,0.36428571428571427,-0.03262217305613563,-0.00858355917029353,-0.019137124206152958
300.0,205.0,0.45,0.4178571428571428,-0.034448377228612256,-0.008801020094891086,-0.020044798987463606
300.0,205.0,0.45,0.4714285714285714,-0.03577072003190526,-0.008901144443938445,-0.020662495527137788
300.0,205.0,0.45,0.525,-0.036838928830738485,-0.008857247770929623,-0.021062318278024177
300.0,205.0,0.45,0.5785714285714285,-0.03771134836919301,-0.008712861218264208,-0.021324807122302353
300.0,205.0,0.45,0.6321428571428571,-0.03847488529785308,-0.008516584746524176,-0.021516563952936538
300.0,205.0,0.45,0.6857142857142857,-0.0391770908902282,-0.008272707905452916,-0.02166155780126513
300.0,205.0,0.45,0.7392857142857143,-0.0398180297271869,-0.008011463521617699,-0.021774932021375922
300.0,205.0,0.45,0.7928571428571428,-0.04039431716753253,-0.007716739157622233,-0.021845196539678532
300.0,205.0,0.45,0.8464285714285714,-0.040893879666024084,-0.007393629461103491,-0.02186828669571957
300.0,205.0,0.45,0.9,-0.041304161648002595,-0.007036500436533517,-0.021834243032788178
300.0,205.0,0.6,0.15,-0.012970359483983316,-0.003782835362606638,-0.006627644077866707
300.0,205.0,0.6,0.20357142857142857,-0.0168297415680243,-0.004166664969546561,-0.008019780717204043
300.0,205.0,0.6,0.2571428571428571,-0.020426080523606772,-0.004447152757233937,-0.009252627827725735
300.0,205.0,0.6,0.3107142857142857,-0.023790344389252982,-0.004706009475051197,-0.010395401935800928
300.0,205.0,0.6,0.36428571428571427,-0.026898622312965133,-0.0049814630550816886,-0.011479504414049838
300.0,205.0,0.6,0.4178571428571428,-0.02973738525301653,-0.00525930450786685,-0.012491320560204659
300.0,205.0,0.6,0.4714285714285714,-0.032303103552307526,-0.005481566999833055,-0.013392914459141113
300.0,205.0,0.6,0.525,-0.034593515464079516,-0.005613480106107088,-0.01414709319857872
300.0,205.0,0.6,0.5785714285714285,-0.03661546601212544,-0.0056127384626286705,-0.014723563361422954
300.0,205.0,0.6,0.6321428571428571,-0.03840559627954011,-0.005506888844353529,-0.01515431737022314
300.0,205.0,0.6,0.6857142857142857,-0.03996689877674441,-0.005263561293642134,-0.015414519679876447
300.0,205.0,0.6,0.7392857142857143,-0.041351922049453115,-0.004969209673165065,-0.015586019655230435
300.0,205.0,0.6,0.7928571428571428,-0.042552679740231546,-0.0045611653477487385,-0.015633929921300315
300.0,205.0,0.6,0.8464285714285714,-0.04359288486768687,-0.004055057636820366,-0.015587938425042743
300.0,205.0,0.6,0.9,-0.04447971712972564,-0.0034637850587993,-0.015446821477151616
310.0,200.0,0.25,0.15,-0.02045895690514849,-0.009571573590924884,-0.014964466412511063
310.0,200.0,0.25,0.20357142857142857,-0.01710153416124655,-0.005053565182074977,-0.01113922881590813
310.0,200.0,0.25,0.2571428571428571,-0.011338348128391754,0.0012657951933384623,-0.005037853187098402
310.0,200.0,0.25,0.3107142857142857,-0.004873610685383333,0.008328363361515842,0.0017867110076731042
310.0,200.0,0.25,0.36428571428571427,0.0018244001411876249,0.015431673414051135,0.008636526154641347
310.0,200.0,0.25,0.4178571428571428,0.008461161568115824,0.022585862369829266,0.015382179001368535
310.0,200.0,0.25,0.4714285714285714,0.014215477276384706,0.029131595418212072,0.021477523907024836
310.0,200.0,0.25,0.525,0.01886223926551964,0.03496424142656767,0.02685534871423033
310.0,200.0,0.25,0.5785714285714285,0.022769176900989743,0.0399714034964096,0.03141445657681416
310.0,200.0,0.25,0.6321428571428571,0.02598713495245619,0.044188322799889594,0.0351821028703399
310.0,200.0,0.25,0.6857142857142857,0.02861053190038603,0.04771047249556975,0.038268409779354404
310.0,200.0,0.25,0.7392857142857143,0.030824941744226085,0.05070309471300804,0.04088436234604933
310.0,200.0,0.25,0.7928571428571428,0.03275375109272069,0.053326708480982234,0.0431721203290833
310.0,200.0,0.25,0.8464285714285714,0.03451260392087562,0.05572896942548983,0.04526368057768878
310.0,200.0,0.25,0.9,0.036197806321233816,0.05803291625708643,0.047268951575596053
310.0,200.0,0.35,0.15,-0.01513238852344638,-0.006584109831260541,-0.010951827013702982
310.0,200.0,0.35,0.20357142857142857,-0.017287983965809304,-0.006190334610151386,-0.011810821650936007
310.0,200.0,0.35,0.2571428571428571,-0.017729666054195396,-0.004757839377916893,-0.011276184760476432
310.0,200.0,0.35,0.3107142857142857,-0.01699184039255003,-0.0027060903598902035,-0.009813356725571933
310.0,200.0,0.35,0.36428571428571427,-0.015543768058548197,-0.00023961862655084464,-0.00775520342969752
310.0,200.0,0.35,0.4178571428571428,-0.01359485465999064,0.00276047116613325,-0.005264268425143041
310.0,200.0,0.35,0.4714285714285714,-0.011468363599530861,0.00576020802399964,-0.0027176577506704065
310.0,200.0,0.35,0.525,-0.00936759437209683,0.008582913259091711,-0.00027261625411901646
310.0,200.0,0.35,0.5785714285714285,-0.0074763373158396864,0.011111278582517183,0.0019224789311805492
310.0,200.0,0.35,0.6321428571428571,-0.0058742347095575515,0.013297292535908806,0.0038049289708669133
310.0,200.0,0.35,0.6857142857142857,-0.004558626394496605,0.015166096842835092,0.005388446858070617
310.0,200.0,0.35,0.7392857142857143,-0.003451091742890235,0.01679161980159645,0.006749006641394202
310.0,200.0,0.35,0.7928571428571428,-0.0025234287278823033,0.01824653987510649,0.007952772638310584
310.0,200.0,0.35,0.8464285714285714,-0.0016695557905357244,0.019594351562163298,0.009063039270207369
310.0,200.0,0.35,0.9,-0.0008365936185199773,0.02089293343576428,0.01013658415014286
310.0,200.0,0.45,0.15,-0.017529256266123006,-0.006030461463788802,-0.011073866797000578
310.0,200.0,0.45,0.20357142857142857,-0.022586610709808795,-0.007040161739248461,-0.013862785652299309
310.0,200.0,0.45,0.2571428571428571,-0.02675472481093709,-0.007732130599839214,-0.016090115655968497
310.0,200.0,0.45,0.3107142857142857,-0.030078011548944877,-0.008228541505824204,-0.017828718524830957
310.0,200.0,0.45,0.36428571428571427,-0.03262217305613563,-0.00858355917029353,-0.019137124206152958
310.0,200.0,0.45,0.4178571428571428,-0.034448377228612256,-0.008801020094891086,-0.020044798987463606
310.0,200.0,0.45,0.4714285714285714,-0.03577072003190526,-0.008901144443938445,-0.020662495527137788
310.0,200.0,0.45,0.525,-0.036838928830738485,-0.008857247770929623,-0.021062318278024177
310.0,200.0,0.45,0.5785714285714285,-0.03771134836919301,-0.008712861218264208,-0.021324807122302353
310.0,200.0,0.45,0.6321428571428571,-0.03847488529785308,-0.008516584746524176,-0.021516563952936538
310.0,200.0,0.45,0.6857142857142857,-0.0391770908902282,-0.008272707905452916,-0.02166155780126513
310.0,200.0,0.45,0.7392857142857143,-0.0398180297271869,-0.008011463521617699,-0.021774932021375922
310.0,200.0,0.45,0.7928571428571428,-0.04039431716753253,-0.007716739157622233,-0.021845196539678532
310.0,200.0,0.45,0.8464285714285714,-0.040893879666024084,-0.007393629461103491,-0.02186828669571957
310.0,200.0,0.45,0.9,-0.041304161648002595,-0.007036500436533517,-0.021834243032788178
310.0,200.0,0.6,0.15,-0.012970359483983316,-0.003782835362606638,-0.006627644077866707
310.0,200.0,0.6,0.20357142857142857,-0.0168297415680243,-0.004166664969546561,-0.008019780717204043
310.0,200.0,0.6,0.2571428571428571,-0.020426080523606772,-0.004447152757233937,-0.009252627827725735
310.0,200.0,0.6,0.3107142857142857,-0.023790344389252982,-0.004706009475051197,-0.010395401935800928
310.0,200.0,0.6,0.36428571428571427,-0.026898622312965133,-0.0049814630550816886,-0.011479504414049838
310.0,200.0,0.6,0.4178571428571428,-0.02973738525301653,-0.00525930450786685,-0.012491320560204659
310.0,200.0,0.6,0.4714285714285714,-0.032303103552307526,-0.005481566999833055,-0.013392914459141113
310.0,200.0,0.6,0.525,-0.034593515464079516,-0.005613480106107088,-0.01414709319857872
310.0,200.0,0.6,0.5785714285714285,-0.03661546601212544,-0.0056127384626286705,-0.014723563361422954
310.0,200.0,0.6,0.6321428571428571,-0.03840559627954011,-0.005506888844353529,-0.01515431737022314
310.0,200.0,0.6,0.6857142857142857,-0.03996689877674441,-0.005263561293642134,-0.015414519679876447
310.0,200.0,0.6,0.7392857142857143,-0.041351922049453115,-0.004969209673165065,-0.015586019655230435
310.0,200.0,0.6,0.7928571428571428,-0.042552679740231546,-0.0045611653477487385,-0.015633929921300315
310.0,200.0,0.6,0.8464285714285714,-0.04359288486768687,-0.004055057636820366,-0.015587938425042743
310.0,200.0,0.6,0.9,-0.04447971712972564,-0.0034637850587993,-0.015446821477151616
310.0,205.0,0.25,0.15,-0.01919427068894298,-0.012161604093291912,-0.015442074517511515
310.0,205.0,0.25,0.20357142857142857,-0.02745659336574014,-0.017760527756921177,-0.02256843370250786
310.0,205.0,0.25,0.2571428571428571,-0.03470833376643371,-0.022828357621219892,-0.028971452442293332
310.0,205.0,0.25,0.3107142857142857,-0.04139737705738036,-0.027102043485313174,-0.034445239803994644
310.0,205.0,0.25,0.36428571428571427,-0.047039781855475894,-0.030598418355393377,-0.039066393447104386
310.0,205.0,0.25,0.4178571428571428,-0.051952917124726404,-0.03364454234812675,-0.04309666383876191
310.0,205.0,0.25,0.4714285714285714,-0.05617371999187769,-0.0362537100413145,-0.046553823406706774
310.0,205.0,0.25,0.525,-0.059959198182421854,-0.03851688139465993,-0.04957453401924674
310.0,205.0,0.25,0.5785714285714285,-0.06323482737945298,-0.04044945231230645,-0.05218850408956019
310.0,205.0,0.25,0.6321428571428571,-0.06607250314832912,-0.04212298365944132,-0.05445582709724662
310.0,205.0,0.25,0.6857142857142857,-0.06851006236612946,-0.04355798661295561,-0.056405162362694536
310.0,205.0,0.25,0.7392857142857143,-0.07070819909727553,-0.04485447729391712,-0.058166880116558524
310.0,205.0,0.25,0.7928571428571428,-0.0727099300606689,-0.04603431793477436,-0.05977255791056649
310.0,205.0,0.25,0.8464285714285714,-0.07458562301627066,-0.04713779529251832,-0.06127692811802976
310.0,205.0,0.25,0.9,-0.07639494630773383,-0.04820101527644024,-0.06272767528499447
310.0,205.0,0.35,0.15,-0.014536064612155767,-0.008244080781097162,-0.011267618904205447
310.0,205.0,0.35,0.20357142857142857,-0.019867117730843382,-0.011384296847426168,-0.015596152672003701
310.0,205.0,0.35,0.2571428571428571,-0.024746554240491957,-0.014388472656220664,-0.019608749977364708
310.0,205.0,0.35,0.3107142857142857,-0.02909341736855515,-0.01716210914688631,-0.023186848564103125
310.0,205.0,0.35,0.36428571428571427,-0.03279559837732412,-0.01967398855233222,-0.02631034281747959
310.0,205.0,0.35,0.4178571428571428,-0.03604975733202448,-0.02178805515498551,-0.029048349759451746
310.0,205.0,0.35,0.4714285714285714,-0.038855470464705416,-0.02343415992197455,-0.03142422786266329
310.0,205.0,0.35,0.525,-0.041401711875673236,-0.02485629921128647,-0.03350058540132919
310.0,205.0,0.35,0.5785714285714285,-0.04369137579187455,-0.02607495540401077,-0.03530404438838518
310.0,205.0,0.35,0.6321428571428571,-0.04569875350224173,-0.027119802317283198,-0.03687237276437637
310.0,205.0,0.35,0.6857142857142857,-0.04744769389128407,-0.028007065933969805,-0.03822528366546735
310.0,205.0,0.35,0.7392857142857143,-0.04901353517248655,-0.028784309984187136,-0.039427632368943345
310.0,205.0,0.35,0.7928571428571428,-0.05041983165990394,-0.029465091645818432,-0.04049878572079491
310.0,205.0,0.35,0.8464285714285714,-0.05170302388151279,-0.030070456832734297,-0.04146933418306429
310.0,205.0,0.35,0.9,-0.052895539144358954,-0.030620519018925558,-0.04236691593227573
310.0,205.0,0.45,0.15,-0.018762726427138818,-0.010800132956474577,-0.014857738483328687
310.0,205.0,0.45,0.20357142857142857,-0.02502682091598577,-0.014249303443970691,-0.019752253287491372
310.0,205.0,0.45,0.2571428571428571,-0.03069987242113828,-0.017417691900734094,-0.024208781536373007
310.0,205.0,0.45,0.3107142857142857,-0.03572398323893348,-0.020285360271786616,-0.028187000808558935
310.0,205.0,0.45,0.36428571428571427,-0.040095337798180475,-0.022851234125449534,-0.031683827607320844
310.0,205.0,0.45,0.4178571428571428,-0.04385463685771484,-0.02513045561701216,-0.03472734988621273
310.0,205.0,0.45,0.4714285714285714,-0.04708975829613748,-0.02713392306397613,-0.0373680217582537
310.0,205.0,0.45,0.525,-0.04988834902199836,-0.02887402960399761,-0.03966131674607328
310.0,205.0,0.45,0.5785714285714285,-0.052332409848158186,-0.03031584150078202,-0.041658481509321825
310.0,205.0,0.45,0.6321428571428571,-0.05448305978975682,-0.03156162088497891,-0.04340406325831378
310.0,205.0,0.45,0.6857142857142857,-0.05638956315700647,-0.032636865385909944,-0.044933442428801026
310.0,205.0,0.45,0.7392857142857143,-0.05808072680511583,-0.03356990763674324,-0.046278806481227265
310.0,205.0,0.45,0.7928571428571428,-0.059588162973160955,-0.03437968518026787,-0.04746495744918627
310.0,205.0,0.45,0.8464285714285714,-0.06093826182061903,-0.03508398965580554,-0.048512647927589456
310.0,205.0,0.45,0.9,-0.06224580726326286,-0.035699095554169544,-0.04944165001595289
310.0,205.0,0.6,0.15,-0.027360998785425365,-0.016847828807836644,-0.0223277117392695
310.0,205.0,0.6,0.20357142857142857,-0.0368283562880414,-0.02264384719780616,-0.030054451403961208
310.0,205.0,0.6,0.2571428571428571,-0.04580347177623404,-0.028152003344650654,-0.037405107867260534
310.0,205.0,0.6,0.3107142857142857,-0.054195394651132565,-0.03332037673048333,-0.04430804873421486
310.0,205.0,0.6,0.36428571428571427,-0.061989456365746376,-0.03811822745255341,-0.05072085768399251
310.0,205.0,0.6,0.4178571428571428,-0.06914820176582304,-0.04253570152493354,-0.056630321353362746
310.0,205.0,0.6,0.4714285714285714,-0.075694900670309,-0.04658298800056496,-0.062051247314514064
310.0,205.0,0.6,0.525,-0.08172547868252618,-0.0502790623567082,-0.06700994085830408
310.0,205.0,0.6,0.5785714285714285,-0.08724586687981532,-0.05364935153243419,-0.07154084256330882
310.0,205.0,0.6,0.6321428571428571,-0.09227866087891357,-0.05671383951749306,-0.0756695964049953
310.0,205.0,0.6,0.6857142857142857,-0.09687200012752302,-0.05950165102745125,-0.07943433919415749
310.0,205.0,0.6,0.7392857142857143,-0.10104261265731143,-0.06202652012589976,-0.08285104192868437
310.0,205.0,0.6,0.7928571428571428,-0.10483951282397597,-0.06431806957253884,-0.08595874330895403
310.0,205.0,0.6,0.8464285714285714,-0.10829142974187127,-0.06639546816355235,-0.0887818148077796
310.0,205.0,0.6,0.9,-0.11143397413776007,-0.06828111127983079,-0.09134946601563676
