had1,had2,z1,z2,fit_line
300.0,200.0,0.25,0.15,-0.014894480365774267
300.0,200.0,0.25,0.20357142857142857,-0.022025536240090248
300.0,200.0,0.25,0.2571428571428571,-0.028492846871851787
300.0,200.0,0.25,0.3107142857142857,-0.03405943742415074
300.0,200.0,0.25,0.36428571428571427,-0.03878582202175894
300.0,200.0,0.25,0.4178571428571428,-0.04292849415766259
300.0,200.0,0.25,0.4714285714285714,-0.04649132529122734
300.0,200.0,0.25,0.525,-0.04960741330840266
300.0,200.0,0.25,0.5785714285714285,-0.052302477357173506
300.0,200.0,0.25,0.6321428571428571,-0.05463655255727329
300.0,200.0,0.25,0.6857142857142857,-0.05663929078219272
300.0,200.0,0.25,0.7392857142857143,-0.058446109350524654
300.0,200.0,0.25,0.7928571428571428,-0.0600905546221861
300.0,200.0,0.25,0.8464285714285714,-0.06163012649882786
300.0,200.0,0.25,0.9,-0.06311465459570224
300.0,200.0,0.35,0.15,-0.010694849455033498
300.0,200.0,0.35,0.20357142857142857,-0.01477723301373295
300.0,200.0,0.35,0.2571428571428571,-0.0185534136887459
300.0,200.0,0.35,0.3107142857142857,-0.021914806916819195
300.0,200.0,0.35,0.36428571428571427,-0.024844843667949337
300.0,200.0,0.35,0.4178571428571428,-0.027410001198695702
300.0,200.0,0.35,0.4714285714285714,-0.02963335838484697
300.0,200.0,0.35,0.525,-0.03157442908074986
300.0,200.0,0.35,0.5785714285714285,-0.03325866720262826
300.0,200.0,0.35,0.6321428571428571,-0.03472197717732163
300.0,200.0,0.35,0.6857142857142857,-0.035983046225458386
300.0,200.0,0.35,0.7392857142857143,-0.037103078200124616
300.0,200.0,0.35,0.7928571428571428,-0.03810017334856524
300.0,200.0,0.35,0.8464285714285714,-0.03900299188292641
300.0,200.0,0.35,0.9,-0.03983751269003366
300.0,200.0,0.45,0.15,-0.016198644692378313
300.0,200.0,0.45,0.20357142857142857,-0.02156433415613267
300.0,200.0,0.45,0.2571428571428571,-0.026434750399637247
300.0,200.0,0.45,0.3107142857142857,-0.0307634683301664
300.0,200.0,0.45,0.36428571428571427,-0.03454781032666079
300.0,200.0,0.45,0.4178571428571428,-0.03782122352447444
300.0,200.0,0.45,0.4714285714285714,-0.04064886720601506
300.0,200.0,0.45,0.525,-0.04309864025768607
300.0,200.0,0.45,0.5785714285714285,-0.045233566587126545
300.0,200.0,0.45,0.6321428571428571,-0.04710433307674511
300.0,200.0,0.45,0.6857142857142857,-0.04875145413955833
300.0,200.0,0.45,0.7392857142857143,-0.05020539266786815
300.0,200.0,0.45,0.7928571428571428,-0.05149334834587595
300.0,200.0,0.45,0.8464285714285714,-0.0526353912901243
300.0,200.0,0.45,0.9,-0.0536515417297907
300.0,200.0,0.6,0.15,-0.02927380823746448
300.0,200.0,0.6,0.20357142857142857,-0.03944068835624057
300.0,200.0,0.6,0.2571428571428571,-0.049108590444424984
300.0,200.0,0.6,0.3107142857142857,-0.058179960597618256
300.0,200.0,0.6,0.36428571428571427,-0.06659795549579425
300.0,200.0,0.6,0.4178571428571428,-0.0743465330313433
300.0,200.0,0.6,0.4714285714285714,-0.08144875385388464
300.0,200.0,0.6,0.525,-0.0879426476390197
300.0,200.0,0.6,0.5785714285714285,-0.09387653378924435
300.0,200.0,0.6,0.6321428571428571,-0.09928470347743963
300.0,200.0,0.6,0.6857142857142857,-0.10421868697545436
300.0,200.0,0.6,0.7392857142857143,-0.10869748696168265
300.0,200.0,0.6,0.7928571428571428,-0.11277352229247088
300.0,200.0,0.6,0.8464285714285714,-0.116478099965648
300.0,200.0,0.6,0.9,-0.11984958365363534
300.0,205.0,0.25,0.15,-0.015258386381608435
300.0,205.0,0.25,0.20357142857142857,-0.011355550673232427
300.0,205.0,0.25,0.2571428571428571,-0.005122420158029742
300.0,205.0,0.25,0.3107142857142857,0.0018539234796095562
300.0,205.0,0.25,0.36428571428571427,0.008860056586184604
300.0,205.0,0.25,0.4178571428571428,0.01576243454582342
300.0,205.0,0.25,0.4714285714285714,0.021998917235534945
300.0,205.0,0.25,0.525,0.027499092363564674
300.0,205.0,0.25,0.5785714285714285,0.03215840283482228
300.0,205.0,0.25,0.6321428571428571,0.0360051980175026
300.0,205.0,0.25,0.6857142857142857,0.0391523193883934
300.0,205.0,0.25,0.7392857142857143,0.04181710756656277
300.0,205.0,0.25,0.7928571428571428,0.04414497237012494
300.0,205.0,0.25,0.8464285714285714,0.04627152291682232
300.0,205.0,0.25,0.9,0.04830948248792916
300.0,205.0,0.35,0.15,-0.01028541203904877
300.0,205.0,0.35,0.20357142857142857,-0.011023097353148461
300.0,205.0,0.35,0.2571428571428571,-0.010441079237593152
300.0,205.0,0.35,0.3107142857142857,-0.00898814250941288
300.0,205.0,0.35,0.36428571428571427,-0.006982364804141678
300.0,205.0,0.35,0.4178571428571428,-0.004576703201212894
300.0,205.0,0.35,0.4714285714285714,-0.0021265519562742754
300.0,205.0,0.35,0.525,0.00022162055664118698
300.0,205.0,0.35,0.5785714285714285,0.002329084492522076
300.0,205.0,0.35,0.6321428571428571,0.004137540246162561
300.0,205.0,0.35,0.6857142857142857,0.005660793488520681
300.0,205.0,0.35,0.7392857142857143,0.0069711437091462426
300.0,205.0,0.35,0.7928571428571428,0.00813177687642875
300.0,205.0,0.35,0.8464285714285714,0.00920288068796602
300.0,205.0,0.35,0.9,0.010238394191544493
300.0,205.0,0.45,0.15,-0.009939246273148527
300.0,205.0,0.45,0.20357142857142857,-0.01231038641524771
300.0,205.0,0.45,0.2571428571428571,-0.01417812142177677
300.0,205.0,0.45,0.3107142857142857,-0.015622544689053811
300.0,205.0,0.45,0.36428571428571427,-0.016702197231049182
300.0,205.0,0.45,0.4178571428571428,-0.01744133113961289
300.0,205.0,0.45,0.4714285714285714,-0.017930312881331067
300.0,205.0,0.45,0.525,-0.01822580693130871
300.0,205.0,0.45,0.5785714285714285,-0.01839322365400197
300.0,205.0,0.45,0.6321428571428571,-0.018493203137630785
300.0,205.0,0.45,0.6857142857142857,-0.018543608472570933
300.0,205.0,0.45,0.7392857142857143,-0.018565764247533253
300.0,205.0,0.45,0.7928571428571428,-0.018545606553915198
300.0,205.0,0.45,0.8464285714285714,-0.018482144352016963
300.0,205.0,0.45,0.9,-0.01836627025504369
300.0,205.0,0.6,0.15,-0.006614893937756844
300.0,205.0,0.6,0.20357142857142857,-0.007688918663490137
300.0,205.0,0.6,0.2571428571428571,-0.008594135916431375
300.0,205.0,0.6,0.3107142857142857,-0.009432024093019931
300.0,205.0,0.6,0.36428571428571427,-0.010249541017391745
300.0,205.0,0.6,0.4178571428571428,-0.011029731270427631
300.0,205.0,0.6,0.4714285714285714,-0.01171560155902112
300.0,205.0,0.6,0.525,-0.012251237154485993
300.0,205.0,0.6,0.5785714285714285,-0.012588130544714955
300.0,205.0,0.6,0.6321428571428571,-0.012766492991420861
300.0,205.0,0.6,0.6857142857142857,-0.01274570942924686
300.0,205.0,0.6,0.7392857142857143,-0.012639151154843889
300.0,205.0,0.6,0.7928571428571428,-0.012393535000727329
300.0,205.0,0.6,0.8464285714285714,-0.012048461920223318
300.0,205.0,0.6,0.9,-0.011599503300060722
310.0,200.0,0.25,0.15,-0.015258386381608435
310.0,200.0,0.25,0.20357142857142857,-0.011355550673232427
310.0,200.0,0.25,0.2571428571428571,-0.005122420158029742
310.0,200.0,0.25,0.3107142857142857,0.0018539234796095562
310.0,200.0,0.25,0.36428571428571427,0.008860056586184604
310.0,200.0,0.25,0.4178571428571428,0.01576243454582342
310.0,200.0,0.25,0.4714285714285714,0.021998917235534945
310.0,200.0,0.25,0.525,0.027499092363564674
310.0,200.0,0.25,0.5785714285714285,0.03215840283482228
310.0,200.0,0.25,0.6321428571428571,0.0360051980175026
310.0,200.0,0.25,0.6857142857142857,0.0391523193883934
310.0,200.0,0.25,0.7392857142857143,0.04181710756656277
310.0,200.0,0.25,0.7928571428571428,0.04414497237012494
310.0,200.0,0.25,0.8464285714285714,0.04627152291682232
310.0,200.0,0.25,0.9,0.04830948248792916
310.0,200.0,0.35,0.15,-0.01028541203904877
310.0,200.0,0.35,0.20357142857142857,-0.011023097353148461
310.0,200.0,0.35,0.2571428571428571,-0.010441079237593152
310.0,200.0,0.35,0.3107142857142857,-0.00898814250941288
310.0,200.0,0.35,0.36428571428571427,-0.006982364804141678
310.0,200.0,0.35,0.4178571428571428,-0.004576703201212894
310.0,200.0,0.35,0.4714285714285714,-0.0021265519562742754
310.0,200.0,0.35,0.525,0.00022162055664118698
310.0,200.0,0.35,0.5785714285714285,0.002329084492522076
310.0,200.0,0.35,0.6321428571428571,0.004137540246162561
310.0,200.0,0.35,0.6857142857142857,0.005660793488520681
310.0,200.0,0.35,0.7392857142857143,0.0069711437091462426
310.0,200.0,0.35,0.7928571428571428,0.00813177687642875
310.0,200.0,0.35,0.8464285714285714,0.00920288068796602
310.0,200.0,0.35,0.9,0.010238394191544493
310.0,200.0,0.45,0.15,-0.009939246273148527
310.0,200.0,0.45,0.20357142857142857,-0.01231038641524771
310.0,200.0,0.45,0.2571428571428571,-0.01417812142177677
310.0,200.0,0.45,0.3107142857142857,-0.015622544689053811
310.0,200.0,0.45,0.36428571428571427,-0.016702197231049182
310.0,200.0,0.45,0.4178571428571428,-0.01744133113961289
310.0,200.0,0.45,0.4714285714285714,-0.017930312881331067
310.0,200.0,0.45,0.525,-0.01822580693130871
310.0,200.0,0.45,0.5785714285714285,-0.01839322365400197
310.0,200.0,0.45,0.6321428571428571,-0.018493203137630785
310.0,200.0,0.45,0.6857142857142857,-0.018543608472570933
310.0,200.0,0.45,0.7392857142857143,-0.018565764247533253
310.0,200.0,0.45,0.7928571428571428,-0.018545606553915198
310.0,200.0,0.45,0.8464285714285714,-0.018482144352016963
310.0,200.0,0.45,0.9,-0.01836627025504369
310.0,200.0,0.6,0.15,-0.006614893937756844
310.0,200.0,0.6,0.20357142857142857,-0.007688918663490137
310.0,200.0,0.6,0.2571428571428571,-0.008594135916431375
310.0,200.0,0.6,0.3107142857142857,-0.009432024093019931
310.0,200.0,0.6,0.36428571428571427,-0.010249541017391745
310.0,200.0,0.6,0.4178571428571428,-0.011029731270427631
310.0,200.0,0.6,0.4714285714285714,-0.01171560155902112
310.0,200.0,0.6,0.525,-0.012251237154485993
310.0,200.0,0.6,0.5785714285714285,-0.012588130544714955
310.0,200.0,0.6,0.6321428571428571,-0.012766492991420861
310.0,200.0,0.6,0.6857142857142857,-0.01274570942924686
310.0,200.0,0.6,0.7392857142857143,-0.012639151154843889
310.0,200.0,0.6,0.7928571428571428,-0.012393535000727329
310.0,200.0,0.6,0.8464285714285714,-0.012048461920223318
310.0,200.0,0.6,0.9,-0.011599503300060722
310.0,205.0,0.25,0.15,-0.014894480365774267
310.0,205.0,0.25,0.20357142857142857,-0.022025536240090248
310.0,205.0,0.25,0.2571428571428571,-0.028492846871851787
310.0,205.0,0.25,0.3107142857142857,-0.03405943742415074
310.0,205.0,0.25,0.36428571428571427,-0.03878582202175894
310.0,205.0,0.25,0.4178571428571428,-0.04292849415766259
310.0,205.0,0.25,0.4714285714285714,-0.04649132529122734
310.0,205.0,0.25,0.525,-0.04960741330840266
310.0,205.0,0.25,0.5785714285714285,-0.052302477357173506
310.0,205.0,0.25,0.6321428571428571,-0.05463655255727329
310.0,205.0,0.25,0.6857142857142857,-0.05663929078219272
310.0,205.0,0.25,0.7392857142857143,-0.058446109350524654
310.0,205.0,0.25,0.7928571428571428,-0.0600905546221861
310.0,205.0,0.25,0.8464285714285714,-0.06163012649882786
310.0,205.0,0.25,0.9,-0.06311465459570224
310.0,205.0,0.35,0.15,-0.010694849455033498
310.0,205.0,0.35,0.20357142857142857,-0.01477723301373295
310.0,205.0,0.35,0.2571428571428571,-0.0185534136887459
310.0,205.0,0.35,0.3107142857142857,-0.021914806916819195
310.0,205.0,0.35,0.36428571428571427,-0.024844843667949337
310.0,205.0,0.35,0.4178571428571428,-0.027410001198695702
310.0,205.0,0.35,0.4714285714285714,-0.02963335838484697
310.0,205.0,0.35,0.525,-0.03157442908074986
310.0,205.0,0.35,0.5785714285714285,-0.03325866720262826
310.0,205.0,0.35,0.6321428571428571,-0.03472197717732163
310.0,205.0,0.35,0.6857142857142857,-0.035983046225458386
310.0,205.0,0.35,0.7392857142857143,-0.037103078200124616
310.0,205.0,0.35,0.7928571428571428,-0.03810017334856524
310.0,205.0,0.35,0.8464285714285714,-0.03900299188292641
310.0,205.0,0.35,0.9,-0.03983751269003366
310.0,205.0,0.45,0.15,-0.016198644692378313
310.0,205.0,0.45,0.20357142857142857,-0.02156433415613267
310.0,205.0,0.45,0.2571428571428571,-0.026434750399637247
310.0,205.0,0.45,0.3107142857142857,-0.0307634683301664
310.0,205.0,0.45,0.36428571428571427,-0.03454781032666079
310.0,205.0,0.45,0.4178571428571428,-0.03782122352447444
310.0,205.0,0.45,0.4714285714285714,-0.04064886720601506
310.0,205.0,0.45,0.525,-0.04309864025768607
310.0,205.0,0.45,0.5785714285714285,-0.045233566587126545
310.0,205.0,0.45,0.6321428571428571,-0.04710433307674511
310.0,205.0,0.45,0.6857142857142857,-0.04875145413955833
310.0,205.0,0.45,0.7392857142857143,-0.05020539266786815
310.0,205.0,0.45,0.7928571428571428,-0.05149334834587595
310.0,205.0,0.45,0.8464285714285714,-0.0526353912901243
310.0,205.0,0.45,0.9,-0.0536515417297907
310.0,205.0,0.6,0.15,-0.02927380823746448
310.0,205.0,0.6,0.20357142857142857,-0.03944068835624057
310.0,205.0,0.6,0.2571428571428571,-0.049108590444424984
310.0,205.0,0.6,0.3107142857142857,-0.058179960597618256
310.0,205.0,0.6,0.36428571428571427,-0.06659795549579425
310.0,205.0,0.6,0.4178571428571428,-0.0743465330313433
310.0,205.0,0.6,0.4714285714285714,-0.08144875385388464
310.0,205.0,0.6,0.525,-0.0879426476390197
310.0,205.0,0.6,0.5785714285714285,-0.09387653378924435
310.0,205.0,0.6,0.6321428571428571,-0.09928470347743963
310.0,205.0,0.6,0.6857142857142857,-0.10421868697545436
310.0,205.0,0.6,0.7392857142857143,-0.10869748696168265
310.0,205.0,0.6,0.7928571428571428,-0.11277352229247088
310.0,205.0,0.6,0.8464285714285714,-0.116478099965648
310.0,205.0,0.6,0.9,-0.11984958365363534
